id,split_type,family,prompt,expected_dsl,expected_code,prediction,manual_score,notes,error_type
code_gen_0573,generalization_time_series_paraphrase,gen_quantile_value,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，估值便宜程度高于自身 55 日 70% 分位数越多，价值信号越突出。这个想法需要转换为函数式 DSL。,"sub(recip(pb), ts_quantile(recip(pb), 55, 0.7))","```dsl_fire
result = sub(recip(pb), ts_quantile(recip(pb), 55, 0.7))
```","```dsl_fire
result = div(sub(recipip(pb), ts_mean(recip(pb))), ts_std(recip(pb), 5)), 5)
```",,,parse_error
code_gen_0433,generalization_conditional_paraphrase,gen_conditional_xs_volume_31,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：只有成交量横截面标准化值为正时，才保留 31 日动量。这个想法需要转换为函数式 DSL。,"where(gt(div(sub(volume, xs_mean(volume)), xs_std(volume)), 0.0), pct_change(close, 31), 0.0)","```dsl_fire
result = where(gt(div(sub(volume, xs_mean(volume)), xs_std(volume)), 0.0), pct_change(close, 31), 0.0)
```","```dsl_fire
result = where(minimum(pct_change(close, 3), xs_mean(pct_change(close, 3))), 3 3 3 3.0)
```",,,parse_error
code_gen_0295,generalization_composition_paraphrase,gen_industry_value_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：行业内估值便宜且 75 日动量较强的股票得分更高。请保持字段和算子命名规范。,"add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), pct_change(close, 75))","```dsl_fire
result = add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), pct_change(close, 75))
```","```dsl_fire
result = div(ts_mean(volume, 5), market_cap)
```",,,semantic_mismatch
code_gen_0424,generalization_conditional_paraphrase,gen_conditional_xs_low_19,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：只有最低价横截面标准化值为正时，才保留 19 日动量。最终只需要一个可执行表达式。,"where(gt(div(sub(low, xs_mean(low)), xs_std(low)), 0.0), pct_change(close, 19), 0.0)","```dsl_fire
result = where(gt(div(sub(low, xs_mean(low)), xs_std(low)), 0.0), pct_change(close, 19), 0.0)
```","```dsl_fire
result = where(gt(recip(pb), xs_mean(recip(recip(pb)))), -1p(sign(recip(pb)), xs_mean(recip(pb))), neg(log(market_cap))), 0.0)
```",,,parse_error
code_gen_0149,generalization_time_series,gen_argmin_close,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：收盘价在 17 日窗口内低点位置用于描述路径。,"ts_argmin(close, 17)","```dsl_fire
result = ts_argmin(close, 17)
```","```dsl_fire
result = div(sub(close, ts_min(low, 20)), sub(ts_max(high, 20), ts_min(low, 20)))
```",,,semantic_mismatch
code_gen_0548,generalization_regression_paraphrase,gen_corr_flow_return,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，用 14 日滚动相关衡量换手代理和日收益同步性。这个想法需要转换为函数式 DSL。,"ts_corr(div(volume, market_cap), pct_change(close, 1), 14)","```dsl_fire
result = ts_corr(div(volume, market_cap), pct_change(close, 1), 14)
```","```dsl_fire
result = ts_std(pct_change(close, 1), 20)
```",,,semantic_mismatch
code_gen_0012,generalization_unseen_window,gen_unseen_window_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 12 日收盘价收益越高，短期趋势越强。,"pct_change(close, 12)","```dsl_fire
result = pct_change(close, 12)
```","</think>

```dsl_fire



```",,,format_error
code_gen_0310,generalization_group_paraphrase,gen_value_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：行业中性估值便宜且 22 日风险调整动量强的股票更有吸引力。请保持字段和算子命名规范。,"add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 22), ts_std(pct_change(close, 1), 22)))","```dsl_fire
result = add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 22), ts_std(pct_change(close, 1), 22)))
```","```dsl_fire
result = div(ts_mean(volume, 2),), sub(ts_std(pct_change(close, 1), 2), xs_mean(ts_std(pct_change(close, 1), 2), 2), 2), ts_std(pct_change(close, 2)))
```",,,parse_error
code_gen_0265,generalization_unseen_window_paraphrase,gen_unseen_window_reversal,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：过去 35 日涨幅越高，后续均值回归压力越大。请保持字段和算子命名规范。,"neg(pct_change(close, 35))","```dsl_fire
result = neg(pct_change(close, 35))
```","```dsl_fire
result = pct_change(close, 3),std(pct_change(close, 3), 3)
```",,,execution_error
code_gen_0581,generalization_conditional_paraphrase,gen_size_liquidity_gate,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，只有小市值暴露高于市场均值时，才保留 110 日流动性信号。注意窗口、方向和字段选择。,"where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 110)), 0.0)","```dsl_fire
result = where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 110)), 0.0)
```","```dsl_fire
result = where(gt(log1p(ts_mean(volume, 20)), xs_mean(log1p(ts_mean(volume, 20)))), gt(log1p(ts_mean(volume, 20)), xs_mean(log1p(ts_mean(volume, 20))))), neg(log1p(ts_mean(volume, 20))), 0.0)
```",,,parse_error
code_gen_0370,generalization_time_series_paraphrase,gen_argmax_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：成交量在 27 日窗口内高点越靠近当前，信号越新。请保持字段和算子命名规范。,"neg(ts_argmax(volume, 27))","```dsl_fire
result = neg(ts_argmax(volume, 27))
```","```dsl_fire
result = div(sub(volume, 2), 2.0)
```",,,semantic_mismatch
code_gen_0419,generalization_conditional_paraphrase,gen_conditional_xs_high_73,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，只有最高价横截面标准化值为正时，才保留 73 日动量。最终只需要一个可执行表达式。,"where(gt(div(sub(high, xs_mean(high)), xs_std(high)), 0.0), pct_change(close, 73), 0.0)","```dsl_fire
result = where(gt(div(sub(high, xs_mean(high)), xs_std(high)), 0.0), pct_change(close, 73), 0.0)
```","```dsl_fire
result = where(gt(pct_change(close, 7), xs_mean(pct_change(close, 7))), 0.0)
```",,,execution_error
code_gen_0409,generalization_conditional_paraphrase,gen_conditional_xs_close_31,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：只有收盘价横截面标准化值为正时，才保留 31 日动量。最终只需要一个可执行表达式。,"where(gt(div(sub(close, xs_mean(close)), xs_std(close)), 0.0), pct_change(close, 31), 0.0)","```dsl_fire
result = where(gt(div(sub(close, xs_mean(close)), xs_std(close)), 0.0), pct_change(close, 31), 0.0)
```","```dsl_fire
result = where(gt(close, shift(close, 3), xs_mean(close)), gt(neg(log(market_cap)), 3 3 3 3 3.0)), neg(neg(log(market_cap)))), 3 3 3 3.0)
```",,,parse_error
code_gen_0341,generalization_conditional_paraphrase,gen_size_liquidity_gate,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，只有小市值暴露高于市场均值时，才保留 110 日流动性信号。注意窗口、方向和字段选择。,"where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 110)), 0.0)","```dsl_fire
result = where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 110)), 0.0)
```","```dsl_fire
result = where(logicalicalical_xor(recip(pb), xs_mean(log(recip(pb)))), gt(log1p(ts_mean(volume, 20)), xs_mean(log1p(ts_mean(volume, 20))))), neg(log(market_cap)), 0.0)
```",,,parse_error
code_gen_0071,generalization_conditional,gen_size_liquidity_gate,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有小市值暴露高于市场均值时，才保留 22 日流动性信号。,"where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 22)), 0.0)","```dsl_fire
result = where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 22)), 0.0)
```","</think>




</think>




```",,,format_error
code_gen_0351,generalization_time_series_paraphrase,gen_argmin_pb,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，市净率 PB在 27 日窗口内低点位置用于描述路径。注意窗口、方向和字段选择。,"ts_argmin(pb, 27)","```dsl_fire
result = ts_argmin(pb, 27)
```","```dsl_fire





```",,,format_error
code_gen_0525,generalization_composition_paraphrase,gen_value_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，同时偏好低 PB 估值和 35 日价格动量强的股票。请保持字段和算子命名规范。,"add(recip(pb), pct_change(close, 35))","```dsl_fire
result = add(recip(pb), pct_change(close, 35))
```","```dsl_fire
result = div(pct_change(close, 3), xs_mean(pct_change(close, 1), 3)))
```",,,parse_error
code_gen_0586,generalization_time_series_paraphrase,gen_argmax_pb,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：市净率 PB在 11 日窗口内高点越靠近当前，信号越新。注意窗口、方向和字段选择。,"neg(ts_argmax(pb, 11))","```dsl_fire
result = neg(ts_argmax(pb, 11))
```","```dsl_fire
result = div(sub(pct_change(close, 20), ts_mean(pct_change(close, 20)))), ts_std(pct_change(close, 20), 20)
```",,,execution_error
code_gen_0111,generalization_time_series,gen_argmin_pb,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：市净率 PB在 27 日窗口内低点位置用于描述路径。,"ts_argmin(pb, 27)","```dsl_fire
result = ts_argmin(pb, 27)
```","```dsl_fire
result = ts_argmaxminimum(pb, 2.0)

```",,,execution_error
code_gen_0303,generalization_time_series_paraphrase,gen_quantile_value,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，估值便宜程度高于自身 9 日 70% 分位数越多，价值信号越突出。这个想法需要转换为函数式 DSL。,"sub(recip(pb), ts_quantile(recip(pb), 9, 0.7))","```dsl_fire
result = sub(recip(pb), ts_quantile(recip(pb), 9, 0.7))
```","```dsl_fire
result = div(sub(recipipip(pb), ts_mean(recip(pb))), ts_std(recip(pb), 90))
```",,,execution_error
code_gen_0371,generalization_time_series_paraphrase,gen_argmin_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，成交量在 27 日窗口内低点位置用于描述路径。注意窗口、方向和字段选择。,"ts_argmin(volume, 27)","```dsl_fire
result = ts_argmin(volume, 27)
```","```dsl_fire
result = div(sub(volume, 2), 2.0)
```",,,semantic_mismatch
code_gen_0304,generalization_group_paraphrase,gen_value_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：行业中性估值便宜且 14 日风险调整动量强的股票更有吸引力。最终只需要一个可执行表达式。,"add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 14), ts_std(pct_change(close, 1), 14)))","```dsl_fire
result = add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 14), ts_std(pct_change(close, 1), 14)))
```","```dsl_fire
result = sub(pct_change(close, 1), xs_mean(pct_change(close, 20)))
```",,,semantic_mismatch
code_gen_0070,generalization_group,gen_value_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：行业中性估值便宜且 22 日风险调整动量强的股票更有吸引力。,"add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 22), ts_std(pct_change(close, 1), 22)))","```dsl_fire
result = add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 22), ts_std(pct_change(close, 1), 22)))
```","```dsl_fire
result = div(sub(recip(pb), xs_mean(recip(pb))), absub(recip(pb), xs_mean(recip(pb))), sub(pct_change(close, 2)))
```",,,execution_error
code_gen_0494,generalization_unseen_window_paraphrase,gen_unseen_window_vol,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，过去 12 日日收益波动越低，稳定性越强。最终只需要一个可执行表达式。,"neg(ts_std(pct_change(close, 1), 12))","```dsl_fire
result = neg(ts_std(pct_change(close, 1), 12))
```","</think>


```dsl_fire
result = ts_f(pct_change(close, 1), neg(pct_change(close, 20)))
```",,,format_error
code_gen_0588,generalization_time_series_paraphrase,gen_argmax_pb,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，市净率 PB在 17 日窗口内高点越靠近当前，信号越新。这个想法需要转换为函数式 DSL。,"neg(ts_argmax(pb, 17))","```dsl_fire
result = neg(ts_argmax(pb, 17))
```","```dsl_fire
result = div(sub(pct_change(pb, 20), ts_mean(pct_change(close, 20), 20)))
```",,,execution_error
code_gen_0309,generalization_time_series_paraphrase,gen_quantile_value,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，估值便宜程度高于自身 14 日 70% 分位数越多，价值信号越突出。最终只需要一个可执行表达式。,"sub(recip(pb), ts_quantile(recip(pb), 14, 0.7))","```dsl_fire
result = sub(recip(pb), ts_quantile(recip(pb), 14, 0.7))
```","```dsl_fire
result = sub(div(recip(pb), xs_mean(recip(pb))), neg(log(market_cap))))
```",,,parse_error
code_gen_0212,generalization_cross_section,gen_xs_quantile_market_cap_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：总市值相对横截面 75% 分位数的偏离用于测试未见分位结构。,"sub(market_cap, xs_quantile(market_cap, 0.75))","```dsl_fire
result = sub(market_cap, xs_quantile(market_cap, 0.75))
```","</think>




</think>




```",,,format_error
code_gen_0493,generalization_unseen_window_paraphrase,gen_unseen_window_reversal,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：过去 12 日涨幅越高，后续均值回归压力越大。这个想法需要转换为函数式 DSL。,"neg(pct_change(close, 12))","```dsl_fire
result = neg(pct_change(close, 12))
```","```dsl_fire
result = pct_change(volume, 60)

```",,,semantic_mismatch
code_gen_0023,generalization_unseen_window,gen_unseen_window_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：短期成交量相对 25 日均量越高，放量越明显。,"div(ts_mean(volume, 6), ts_mean(volume, 25))","```dsl_fire
result = div(ts_mean(volume, 6), ts_mean(volume, 25))
```","```dsl_fire
result = div(volume, ts_mean(volume, 20))
```",,,semantic_mismatch
code_gen_0143,generalization_time_series,gen_argmin_vwap,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：成交量加权平均价在 38 日窗口内低点位置用于描述路径。,"ts_argmin(vwap, 38)","```dsl_fire
result = ts_argmin(vwap, 38)
```","```dsl_fire
result = ts_argmaxmin(vwap, 3)
```",,,semantic_mismatch
code_gen_0407,generalization_conditional_paraphrase,gen_mask_group_close_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，只有收盘价不低于行业均值时，才保留行业标准化信号。不要使用解释文字。,"mask(div(sub(close, group_mean(close, industry)), group_std(close, industry)), ge(close, group_mean(close, industry)), 0.0)","```dsl_fire
result = mask(div(sub(close, group_mean(close, industry)), group_std(close, industry)), ge(close, group_mean(close, industry)), 0.0)
```","</think>


```dsl_fire
result = where(gt(close, shift(close, 20)), neg(div(sub(close, xs_mean(close)), group_std(close, 20), group_mean(log(market_cap), industry)), group_std(log(market_cap), industry)), 0.0)
```",,,format_error
code_gen_0564,generalization_conditional_paraphrase,gen_value_momentum_gate,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，只有估值便宜且 42 日动量高于市场均值时，才保留价值动量组合。最终只需要一个可执行表达式。,"where(logical_and(gt(recip(pb), xs_mean(recip(pb))), gt(pct_change(close, 42), xs_mean(pct_change(close, 42)))), add(recip(pb), pct_change(close, 42)), 0.0)","```dsl_fire
result = where(logical_and(gt(recip(pb), xs_mean(recip(pb))), gt(pct_change(close, 42), xs_mean(pct_change(close, 42)))), add(recip(pb), pct_change(close, 42)), 0.0)
```","```dsl_fire
result = where(gtire

```",,,parse_error
code_gen_0449,generalization_conditional_paraphrase,gen_conditional_xs_pb_31,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，只有市净率 PB横截面标准化值为正时，才保留 31 日动量。最终只需要一个可执行表达式。,"where(gt(div(sub(pb, xs_mean(pb)), xs_std(pb)), 0.0), pct_change(close, 31), 0.0)","```dsl_fire
result = where(gt(div(sub(pb, xs_mean(pb)), xs_std(pb)), 0.0), pct_change(close, 31), 0.0)
```","</think>


</think>




```dsl_fire
result = where(gt(pct_change(pb, 3), xs_mean(pct_change(pct_change(close, 3)), xs_mean(pct_change(close, 3), 3), 3), -1.0)
```",,,format_error
code_gen_0361,generalization_time_series_paraphrase,gen_argmin_market_cap,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：总市值在 27 日窗口内低点位置用于描述路径。注意窗口、方向和字段选择。,"ts_argmin(market_cap, 27)","```dsl_fire
result = ts_argmin(market_cap, 27)
```","```dsl_fire
result = div(sub(market_cap, 2), 2)
```",,,semantic_mismatch
code_gen_0164,generalization_cross_section,gen_xs_quantile_close_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：收盘价相对横截面 75% 分位数的偏离用于测试未见分位结构。,"sub(close, xs_quantile(close, 0.75))","```dsl_fire
result = sub(close, xs_quantile(close, 0.75))
```","</think>




</think>




```",,,format_error
code_gen_0298,generalization_conditional_paraphrase,gen_size_liquidity_gate,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：只有小市值暴露高于市场均值时，才保留 9 日流动性信号。这个想法需要转换为函数式 DSL。,"where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 9)), 0.0)","```dsl_fire
result = where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 9)), 0.0)
```","```dsl_fire
result = where(gtire

```",,,parse_error
code_gen_0174,generalization_conditional,gen_conditional_xs_high_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有最高价横截面标准化值为正时，才保留 13 日动量。,"where(gt(div(sub(high, xs_mean(high)), xs_std(high)), 0.0), pct_change(close, 13), 0.0)","```dsl_fire
result = where(gt(div(sub(high, xs_mean(high)), xs_std(high)), 0.0), pct_change(close, 13), 0.0)
```","```dsl_fire
result = where(gt(pct_change(close, 20), xs_mean(pct_change(close, 20))), gt(div(sub(pct_change(close, 20), ts_mean(close, 20)), xs_std(close, 20))), 0.0)
```",,,execution_error
code_gen_0214,generalization_conditional,gen_conditional_xs_market_cap_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有总市值横截面标准化值为正时，才保留 13 日动量。,"where(gt(div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap)), 0.0), pct_change(close, 13), 0.0)","```dsl_fire
result = where(gt(div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap)), 0.0), pct_change(close, 13), 0.0)
```","```dsl_fire
result = where(gt(pct_change(close, 20), xs_mean(pct_change(close, 20))), gt(neg(log(market_cap)), xs_mean(neg(log(market_cap))))), 0.0)
```",,,parse_error
code_gen_0277,generalization_unseen_window_paraphrase,gen_unseen_window_reversal,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：过去 120 日涨幅越高，后续均值回归压力越大。不要使用解释文字。,"neg(pct_change(close, 120))","```dsl_fire
result = neg(pct_change(close, 120))
```","```dsl_fire
result = pct_change(pct_change(close, 1), 0.0)
```",,,execution_error
code_gen_0251,generalization_unseen_window_paraphrase,gen_unseen_window_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，短期成交量相对 8 日均量越高，放量越明显。注意窗口、方向和字段选择。,"div(ts_mean(volume, 2), ts_mean(volume, 8))","```dsl_fire
result = div(ts_mean(volume, 2), ts_mean(volume, 8))
```","```dsl_fire
result = div(volume, ts_mean(volume, 20)), sub(volume, 0.0)
```",,,execution_error
code_gen_0036,generalization_unseen_window,gen_unseen_window_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 120 日收盘价收益越高，短期趋势越强。,"pct_change(close, 120)","```dsl_fire
result = pct_change(close, 120)
```","```dsl_fire
result = sub(pct_change(close, 20), pct_change(close, 20))
```",,,execution_error
code_gen_0394,generalization_time_series_paraphrase,gen_argmax_close,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：收盘价在 66 日窗口内高点越靠近当前，信号越新。最终只需要一个可执行表达式。,"neg(ts_argmax(close, 66))","```dsl_fire
result = neg(ts_argmax(close, 66))
```","```dsl_fire
result = div(sub(close, ts_min(low, 20)), sub(ts_max(high, 20), ts_min(low, 20)))
```",,,semantic_mismatch
code_gen_0032,generalization_unseen_window,gen_unseen_window_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 75 日收盘价收益越高，短期趋势越强。,"pct_change(close, 75)","```dsl_fire
result = pct_change(close, 75)
```","</think>

```dsl_fire



```",,,format_error
code_gen_0367,generalization_time_series_paraphrase,gen_argmin_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：成交量在 11 日窗口内低点位置用于描述路径。不要使用解释文字。,"ts_argmin(volume, 11)","```dsl_fire
result = ts_argmin(volume, 11)
```","```dsl_fire
result = div(sub(volume, ts_mean(volume, 20)), sub(volume, ts_mean(volume, 20)))
```",,,execution_error
code_gen_0046,generalization_composition,gen_liquidity_adjusted_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：价格趋势和流动性同时较强时，趋势可信度更高。,"mul(pct_change(close, 35), log1p(ts_mean(volume, 35)))","```dsl_fire
result = mul(pct_change(close, 35), log1p(ts_mean(volume, 35)))
```","```dsl_fire
result = where(lt(pct_change(close, 20), xs_mean(pct_change(close, 20)))), neg(log1p(ts_mean(volume, 20))), 0.0)
```",,,parse_error
code_gen_0089,generalization_conditional,gen_size_liquidity_gate,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有小市值暴露高于市场均值时，才保留 55 日流动性信号。,"where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 55)), 0.0)","```dsl_fire
result = where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 55)), 0.0)
```","</think>




</think>




```dsl_fire
result = where(gttt(log1p(ts_mean(volume, 20)), xs_mean(log1p(ts_mean(volume, 5)))), 5), gt(log1p(ts_mean(volume, 5)), xs_mean(log1p(ts_mean(volume, 5))))), neg(log1p(ts_mean(v",,,format_error
code_gen_0059,generalization_conditional,gen_value_momentum_gate,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有估值便宜且 9 日动量高于市场均值时，才保留价值动量组合。,"where(logical_and(gt(recip(pb), xs_mean(recip(pb))), gt(pct_change(close, 9), xs_mean(pct_change(close, 9)))), add(recip(pb), pct_change(close, 9)), 0.0)","```dsl_fire
result = where(logical_and(gt(recip(pb), xs_mean(recip(pb))), gt(pct_change(close, 9), xs_mean(pct_change(close, 9)))), add(recip(pb), pct_change(close, 9)), 0.0)
```","```dsl_fire
result = where(gtpct_change(recip(pb), xs_mean(recip(pb))), gt(pct_change(close, 20), xs_mean(pct_change(close, 20)))), log1p(volume, 20)), pct_change(close, 20)
```",,,parse_error
code_gen_0108,generalization_time_series,gen_argmax_pb,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：市净率 PB在 17 日窗口内高点越靠近当前，信号越新。,"neg(ts_argmax(pb, 17))","```dsl_fire
result = neg(ts_argmax(pb, 17))
```","</think>

</think>

```dsl_fire
result = ts_fire

```",,,format_error
code_gen_0292,generalization_composition_paraphrase,gen_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：同时偏好 75 日风险调整趋势高且收益方差低的股票。不要使用解释文字。,"add(div(pct_change(close, 75), ts_std(pct_change(close, 1), 75)), neg(ts_var(pct_change(close, 1), 75)))","```dsl_fire
result = add(div(pct_change(close, 75), ts_std(pct_change(close, 1), 75)), neg(ts_var(pct_change(close, 1), 75)))
```","```dsl_fire
result = sub(pct_change(close, 7), pct_change(close, 7))
```",,,execution_error
code_gen_0129,generalization_time_series,gen_argmin_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：成交量在 17 日窗口内低点位置用于描述路径。,"ts_argmin(volume, 17)","```dsl_fire
result = ts_argmin(volume, 17)
```","```dsl_fire
result = div(sub(volume, ts_mean(volume, 20)), ts_max(volume, 20))
```",,,semantic_mismatch
code_gen_0379,generalization_time_series_paraphrase,gen_argmin_vwap,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：成交量加权平均价在 17 日窗口内低点位置用于描述路径。最终只需要一个可执行表达式。,"ts_argmin(vwap, 17)","```dsl_fire
result = ts_argmin(vwap, 17)
```","```dsl_fire
result = div(sub(high, shift(vwap, 20)), shift(vwap, 20))
```",,,semantic_mismatch
code_gen_0344,generalization_regression_paraphrase,gen_corr_flow_return,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，用 110 日滚动相关衡量换手代理和日收益同步性。最终只需要一个可执行表达式。,"ts_corr(div(volume, market_cap), pct_change(close, 1), 110)","```dsl_fire
result = ts_corr(div(volume, market_cap), pct_change(close, 1), 110)
```","</think>








```dsl_fire





```",,,format_error
code_gen_0009,generalization_unseen_window,gen_unseen_window_reversal,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 8 日涨幅越高，后续均值回归压力越大。,"neg(pct_change(close, 8))","```dsl_fire
result = neg(pct_change(close, 8))
```","</think>

```dsl_fire



```",,,format_error
code_gen_0339,generalization_time_series_paraphrase,gen_quantile_value,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，估值便宜程度高于自身 85 日 70% 分位数越多，价值信号越突出。最终只需要一个可执行表达式。,"sub(recip(pb), ts_quantile(recip(pb), 85, 0.7))","```dsl_fire
result = sub(recip(pb), ts_quantile(recip(pb), 85, 0.7))
```","```dsl_fire
result = div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb)))
```",,,semantic_mismatch
