case_id,family,idea,dsl,source,operators
op_case_0143,v21_compare_le_volatility,当波动率小于等于市场均值时保留价值规模组合信号。,"where(le(ts_std(pct_change(close, 1), 20), xs_mean(ts_std(pct_change(close, 1), 20))), add(recip(pb), neg(log(market_cap))), 0.0)",conditional_v21,"where,le,add,ts_std,xs_mean,recip,neg,pct_change,ts_std,log,pct_change"
op_case_0144,v21_ts_reg_res_recip_pb_log_market_cap_15,用 15 日滚动回归得到 recip(pb) 相对 log(market_cap) 解释后的残差信号。,"ts_reg_res(recip(pb), log(market_cap), 15)",regression_v21,"ts_reg_res,recip,log"
op_case_0145,v21_ts_corr_recip_pb_log_market_cap_15,用 15 日滚动相关衡量 recip(pb) 和 log(market_cap) 的同步性。,"ts_corr(recip(pb), log(market_cap), 15)",regression_v21,"ts_corr,recip,log"
op_case_0146,v21_ts_reg_res_recip_pb_log_market_cap_20,用 20 日滚动回归得到 recip(pb) 相对 log(market_cap) 解释后的残差信号。,"ts_reg_res(recip(pb), log(market_cap), 20)",regression_v21,"ts_reg_res,recip,log"
op_case_0147,v21_ts_corr_recip_pb_log_market_cap_20,用 20 日滚动相关衡量 recip(pb) 和 log(market_cap) 的同步性。,"ts_corr(recip(pb), log(market_cap), 20)",regression_v21,"ts_corr,recip,log"
op_case_0148,v21_ts_reg_res_recip_pb_log_market_cap_30,用 30 日滚动回归得到 recip(pb) 相对 log(market_cap) 解释后的残差信号。,"ts_reg_res(recip(pb), log(market_cap), 30)",regression_v21,"ts_reg_res,recip,log"
op_case_0149,v21_ts_corr_recip_pb_log_market_cap_30,用 30 日滚动相关衡量 recip(pb) 和 log(market_cap) 的同步性。,"ts_corr(recip(pb), log(market_cap), 30)",regression_v21,"ts_corr,recip,log"
op_case_0150,v21_ts_reg_res_recip_pb_log_market_cap_45,用 45 日滚动回归得到 recip(pb) 相对 log(market_cap) 解释后的残差信号。,"ts_reg_res(recip(pb), log(market_cap), 45)",regression_v21,"ts_reg_res,recip,log"
op_case_0151,v21_ts_corr_recip_pb_log_market_cap_45,用 45 日滚动相关衡量 recip(pb) 和 log(market_cap) 的同步性。,"ts_corr(recip(pb), log(market_cap), 45)",regression_v21,"ts_corr,recip,log"
op_case_0152,v21_ts_reg_res_recip_pb_log_market_cap_60,用 60 日滚动回归得到 recip(pb) 相对 log(market_cap) 解释后的残差信号。,"ts_reg_res(recip(pb), log(market_cap), 60)",regression_v21,"ts_reg_res,recip,log"
op_case_0153,v21_ts_corr_recip_pb_log_market_cap_60,用 60 日滚动相关衡量 recip(pb) 和 log(market_cap) 的同步性。,"ts_corr(recip(pb), log(market_cap), 60)",regression_v21,"ts_corr,recip,log"
op_case_0154,v21_ts_reg_res_recip_pb_log_market_cap_90,用 90 日滚动回归得到 recip(pb) 相对 log(market_cap) 解释后的残差信号。,"ts_reg_res(recip(pb), log(market_cap), 90)",regression_v21,"ts_reg_res,recip,log"
op_case_0155,v21_ts_corr_recip_pb_log_market_cap_90,用 90 日滚动相关衡量 recip(pb) 和 log(market_cap) 的同步性。,"ts_corr(recip(pb), log(market_cap), 90)",regression_v21,"ts_corr,recip,log"
op_case_0156,v21_ts_reg_res_pct_change_close_20_recip_pb_15,"用 15 日滚动回归得到 pct_change(close, 20) 相对 recip(pb) 解释后的残差信号。","ts_reg_res(pct_change(close, 20), recip(pb), 15)",regression_v21,"ts_reg_res,pct_change,recip"
op_case_0157,v21_ts_corr_pct_change_close_20_recip_pb_15,"用 15 日滚动相关衡量 pct_change(close, 20) 和 recip(pb) 的同步性。","ts_corr(pct_change(close, 20), recip(pb), 15)",regression_v21,"ts_corr,pct_change,recip"
op_case_0158,v21_ts_reg_res_pct_change_close_20_recip_pb_20,"用 20 日滚动回归得到 pct_change(close, 20) 相对 recip(pb) 解释后的残差信号。","ts_reg_res(pct_change(close, 20), recip(pb), 20)",regression_v21,"ts_reg_res,pct_change,recip"
op_case_0159,v21_ts_corr_pct_change_close_20_recip_pb_20,"用 20 日滚动相关衡量 pct_change(close, 20) 和 recip(pb) 的同步性。","ts_corr(pct_change(close, 20), recip(pb), 20)",regression_v21,"ts_corr,pct_change,recip"
op_case_0160,v21_ts_reg_res_pct_change_close_20_recip_pb_30,"用 30 日滚动回归得到 pct_change(close, 20) 相对 recip(pb) 解释后的残差信号。","ts_reg_res(pct_change(close, 20), recip(pb), 30)",regression_v21,"ts_reg_res,pct_change,recip"
op_case_0161,v21_ts_corr_pct_change_close_20_recip_pb_30,"用 30 日滚动相关衡量 pct_change(close, 20) 和 recip(pb) 的同步性。","ts_corr(pct_change(close, 20), recip(pb), 30)",regression_v21,"ts_corr,pct_change,recip"
op_case_0162,v21_ts_reg_res_pct_change_close_20_recip_pb_45,"用 45 日滚动回归得到 pct_change(close, 20) 相对 recip(pb) 解释后的残差信号。","ts_reg_res(pct_change(close, 20), recip(pb), 45)",regression_v21,"ts_reg_res,pct_change,recip"
op_case_0163,v21_ts_corr_pct_change_close_20_recip_pb_45,"用 45 日滚动相关衡量 pct_change(close, 20) 和 recip(pb) 的同步性。","ts_corr(pct_change(close, 20), recip(pb), 45)",regression_v21,"ts_corr,pct_change,recip"
op_case_0164,v21_ts_reg_res_pct_change_close_20_recip_pb_60,"用 60 日滚动回归得到 pct_change(close, 20) 相对 recip(pb) 解释后的残差信号。","ts_reg_res(pct_change(close, 20), recip(pb), 60)",regression_v21,"ts_reg_res,pct_change,recip"
op_case_0165,v21_ts_corr_pct_change_close_20_recip_pb_60,"用 60 日滚动相关衡量 pct_change(close, 20) 和 recip(pb) 的同步性。","ts_corr(pct_change(close, 20), recip(pb), 60)",regression_v21,"ts_corr,pct_change,recip"
op_case_0166,v21_ts_reg_res_pct_change_close_20_recip_pb_90,"用 90 日滚动回归得到 pct_change(close, 20) 相对 recip(pb) 解释后的残差信号。","ts_reg_res(pct_change(close, 20), recip(pb), 90)",regression_v21,"ts_reg_res,pct_change,recip"
op_case_0167,v21_ts_corr_pct_change_close_20_recip_pb_90,"用 90 日滚动相关衡量 pct_change(close, 20) 和 recip(pb) 的同步性。","ts_corr(pct_change(close, 20), recip(pb), 90)",regression_v21,"ts_corr,pct_change,recip"
op_case_0168,v21_ts_argmax_pb_5,5 日窗口内市净率 PB最高值出现越靠近当前，信号越新。,"neg(ts_argmax(pb, 5))",rare_operator_v21,"neg,ts_argmax"
op_case_0169,v21_ts_argmin_pb_5,5 日窗口内市净率 PB最低值位置刻画低点远近。,"ts_argmin(pb, 5)",rare_operator_v21,ts_argmin
op_case_0170,v21_ts_argmaxmin_pb_5,比较 5 日窗口内市净率 PB高点和低点的位置差。,"ts_argmaxmin(pb, 5)",rare_operator_v21,ts_argmaxmin
op_case_0171,v21_ts_quantile_pb_5,市净率 PB高于自身 5 日 70% 分位数越多，历史位置越高。,"sub(pb, ts_quantile(pb, 5, 0.7))",rare_operator_v21,"sub,ts_quantile"
op_case_0172,v21_ts_sum_pb_5,用 5 日市净率 PB日变化求和近似累计变化。,"ts_sum(pct_change(pb, 1), 5)",rare_operator_v21,"ts_sum,pct_change"
op_case_0173,v21_ts_win_cumsum_pb_5,在 5 日窗口内累计市净率 PB日变化。,"ts_win_cumsum(pct_change(pb, 1), 5)",rare_operator_v21,"ts_win_cumsum,pct_change"
op_case_0174,v21_ts_prod_pb_5,对 5 日市净率 PB日变化加一后连乘。,"ts_prod(add(1.0, pct_change(pb, 1)), 5)",rare_operator_v21,"ts_prod,add,pct_change"
op_case_0175,v21_ts_argmax_pb_10,10 日窗口内市净率 PB最高值出现越靠近当前，信号越新。,"neg(ts_argmax(pb, 10))",rare_operator_v21,"neg,ts_argmax"
op_case_0176,v21_ts_argmin_pb_10,10 日窗口内市净率 PB最低值位置刻画低点远近。,"ts_argmin(pb, 10)",rare_operator_v21,ts_argmin
op_case_0177,v21_ts_argmaxmin_pb_10,比较 10 日窗口内市净率 PB高点和低点的位置差。,"ts_argmaxmin(pb, 10)",rare_operator_v21,ts_argmaxmin
op_case_0178,v21_ts_quantile_pb_10,市净率 PB高于自身 10 日 70% 分位数越多，历史位置越高。,"sub(pb, ts_quantile(pb, 10, 0.7))",rare_operator_v21,"sub,ts_quantile"
op_case_0179,v21_ts_sum_pb_10,用 10 日市净率 PB日变化求和近似累计变化。,"ts_sum(pct_change(pb, 1), 10)",rare_operator_v21,"ts_sum,pct_change"
op_case_0180,rare_xs_median,总市值相对当日横截面中位数的偏离越高，相对水平越强。,"sub(market_cap, xs_median(market_cap))",rare_operator_booster,"sub,xs_median"
op_case_0181,rare_xs_median_abs,总市值偏离横截面中位数的绝对幅度越大，异常程度越高。,"absolute(sub(market_cap, xs_median(market_cap)))",rare_operator_booster,"absolute,sub,xs_median"
op_case_0182,rare_xs_quantile,总市值相对当日横截面 0.2 分位数的偏离越高，位置越高。,"sub(market_cap, xs_quantile(market_cap, 0.2))",rare_operator_booster,"sub,xs_quantile"
op_case_0183,rare_xs_quantile,总市值相对当日横截面 0.5 分位数的偏离越高，位置越高。,"sub(market_cap, xs_quantile(market_cap, 0.5))",rare_operator_booster,"sub,xs_quantile"
op_case_0184,rare_xs_quantile,总市值相对当日横截面 0.8 分位数的偏离越高，位置越高。,"sub(market_cap, xs_quantile(market_cap, 0.8))",rare_operator_booster,"sub,xs_quantile"
op_case_0185,exp_scaled_market_cap,对横截面标准化后的总市值截断后取指数，强调高分端差异。,"exp(minimum(div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap)), 3.0))",math_transform,"exp,minimum,div,sub,xs_std,xs_mean"
op_case_0186,size,总市值越小，规模因子得分越高。,neg(log(market_cap)),fundamental,"neg,log"
op_case_0187,large_size,总市值越大，大盘风格暴露越高。,log(market_cap),fundamental,log
op_case_0188,xs_mean_gap_market_cap,总市值高于当日横截面均值越多，相对市场水平越高。,"sub(market_cap, xs_mean(market_cap))",cross_section,"sub,xs_mean"
op_case_0189,xs_std_score_market_cap,对总市值做横截面标准化，衡量相对市场偏离。,"div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap))",cross_section,"div,sub,xs_std,xs_mean"
op_case_0190,xs_share_market_cap,个股总市值占当日横截面总量比例越高，权重越大。,"div(market_cap, xs_sum(market_cap))",cross_section,"div,xs_sum"
op_case_0191,v21_group_mean_gap_extra_market_cap,总市值高于行业均值越多，行业内相对水平越高。,"sub(market_cap, group_mean(market_cap, industry))",group_v21,"sub,group_mean"
op_case_0192,group_zscore_market_cap,在行业内对总市值做标准化，得到行业中性暴露。,"div(sub(market_cap, group_mean(market_cap, industry)), group_std(market_cap, industry))",group,"div,sub,group_std,group_mean"
op_case_0193,group_relative_market_cap,总市值相对行业均值的比例越高，行业内相对强度越高。,"div(market_cap, group_mean(market_cap, industry))",group,"div,group_mean"
op_case_0194,xs_corr_close_market_cap,在同一交易日横截面上计算收盘价和总市值的相关性。,"xs_corr(close, market_cap)",cross_section,xs_corr
op_case_0195,relative_share_close_market_cap,收盘价占比高于总市值占比越多，相对关注度越异常。,"sub(div(close, xs_sum(close)), div(market_cap, xs_sum(market_cap)))",cross_section,"sub,div,div,xs_sum,xs_sum"
op_case_0196,xs_corr_volume_market_cap,在同一交易日横截面上计算成交量和总市值的相关性。,"xs_corr(volume, market_cap)",cross_section,xs_corr
op_case_0197,relative_share_volume_market_cap,成交量占比高于总市值占比越多，相对关注度越异常。,"sub(div(volume, xs_sum(volume)), div(market_cap, xs_sum(market_cap)))",cross_section,"sub,div,div,xs_sum,xs_sum"
op_case_0198,v21_industry_small_size,在行业内对小市值暴露做标准化，得到行业中性规模信号。,"div(sub(neg(log(market_cap)), group_mean(neg(log(market_cap)), industry)), group_std(neg(log(market_cap)), industry))",group_v21,"div,sub,group_std,neg,group_mean,neg,log,neg,log,log"
op_case_0199,v21_size_abs_small_size,衡量小市值暴露相对市场的异常程度。,"absolute(div(sub(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), xs_std(neg(log(market_cap)))))",cross_section_v21,"absolute,div,sub,xs_std,neg,xs_mean,neg,log,neg,log,log"
op_case_0200,v21_industry_large_size,在行业内对大市值暴露做标准化，得到行业中性规模信号。,"div(sub(log(market_cap), group_mean(log(market_cap), industry)), group_std(log(market_cap), industry))",group_v21,"div,sub,group_std,log,group_mean,log,log"
op_case_0201,v21_size_abs_large_size,衡量大市值暴露相对市场的异常程度。,"absolute(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))",cross_section_v21,"absolute,div,sub,xs_std,log,xs_mean,log,log"
op_case_0202,v21_size_rank_like,用市值对数的横截面标准化规模刻画股票规模风格。,"div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))",fundamental_v21,"div,sub,xs_std,log,xs_mean,log,log"
op_case_0203,v21_industry_size_rank_like,在行业内对市值对数的横截面标准化规模做标准化，得到行业中性规模信号。,"div(sub(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), group_mean(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), industry)), group_std(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), industry))",group_v21,"div,sub,group_std,div,group_mean,div,sub,xs_std,div,sub,xs_std,log,xs_mean,log,sub,xs_std,log,xs_mean,log,log,log,xs_mean,log,log,log"
op_case_0204,v21_size_abs_size_rank_like,衡量市值对数的横截面标准化规模相对市场的异常程度。,"absolute(div(sub(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), xs_mean(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))), xs_std(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))))",cross_section_v21,"absolute,div,sub,xs_std,div,xs_mean,div,sub,xs_std,div,sub,xs_std,log,xs_mean,log,sub,xs_std,log,xs_mean,log,log,log,xs_mean,log,log,log"
op_case_0205,v21_small_size_rank_like,用小市值的横截面标准化暴露刻画股票规模风格。,"neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))",fundamental_v21,"neg,div,sub,xs_std,log,xs_mean,log,log"
op_case_0206,v21_industry_small_size_rank_like,在行业内对小市值的横截面标准化暴露做标准化，得到行业中性规模信号。,"div(sub(neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))), group_mean(neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))), industry)), group_std(neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))), industry))",group_v21,"div,sub,group_std,neg,group_mean,neg,div,neg,div,sub,xs_std,div,sub,xs_std,log,xs_mean,log,sub,xs_std,log,xs_mean,log,log,log,xs_mean,log,log,log"
op_case_0207,v21_size_abs_small_size_rank_like,衡量小市值的横截面标准化暴露相对市场的异常程度。,"absolute(div(sub(neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))), xs_mean(neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))))), xs_std(neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))))))",cross_section_v21,"absolute,div,sub,xs_std,neg,xs_mean,neg,div,neg,div,sub,xs_std,div,sub,xs_std,log,xs_mean,log,sub,xs_std,log,xs_mean,log,log,log,xs_mean,log,log,log"
op_case_0208,v21_xs_turnover_proxy,对成交量相对市值的换手代理做横截面标准化，衡量相对交易活跃程度。,"div(sub(div(volume, market_cap), xs_mean(div(volume, market_cap))), xs_std(div(volume, market_cap)))",cross_section_v21,"div,sub,xs_std,div,xs_mean,div,div"
op_case_0209,v21_group_turnover_proxy,在行业内对成交量相对市值的换手代理做标准化，得到行业中性交易信号。,"div(sub(div(volume, market_cap), group_mean(div(volume, market_cap), industry)), group_std(div(volume, market_cap), industry))",group_v21,"div,sub,group_std,div,group_mean,div,div"
op_case_0210,v21_size_flow_small_size_liquidity,同时考虑小市值暴露和20 日流动性，构造规模交易活跃度组合。,"add(neg(log(market_cap)), log1p(ts_mean(volume, 20)))",fundamental_v21,"add,neg,log1p,log,ts_mean"
op_case_0211,v21_logic_size_flow_small_size_liquidity,当小市值暴露或20 日流动性至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), gt(log1p(ts_mean(volume, 20)), xs_mean(log1p(ts_mean(volume, 20))))), add(neg(log(market_cap)), log1p(ts_mean(volume, 20))), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,neg,log1p,neg,xs_mean,log1p,xs_mean,log,ts_mean,log,neg,ts_mean,log1p,log,ts_mean"
op_case_0212,v21_size_flow_small_size_volume_attention,同时考虑小市值暴露和成交量异常放大，构造规模交易活跃度组合。,"add(neg(log(market_cap)), div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20)))",fundamental_v21,"add,neg,div,log,sub,ts_std,ts_mean"
op_case_0213,v21_logic_size_flow_small_size_volume_attention,当小市值暴露或成交量异常放大至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), gt(div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20)), xs_mean(div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20))))), add(neg(log(market_cap)), div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20))), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,neg,div,neg,xs_mean,div,xs_mean,log,sub,ts_std,log,neg,sub,ts_std,div,ts_mean,log,ts_mean,sub,ts_std,ts_mean"
op_case_0214,v21_size_flow_small_size_turnover_proxy,同时考虑小市值暴露和成交量相对市值的换手代理，构造规模交易活跃度组合。,"add(neg(log(market_cap)), div(volume, market_cap))",fundamental_v21,"add,neg,div,log"
op_case_0215,v21_logic_size_flow_small_size_turnover_proxy,当小市值暴露或成交量相对市值的换手代理至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), gt(div(volume, market_cap), xs_mean(div(volume, market_cap)))), add(neg(log(market_cap)), div(volume, market_cap)), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,neg,div,neg,xs_mean,div,xs_mean,log,log,neg,div,log"
op_case_0216,v21_size_flow_small_size_vwap_deviation,同时考虑小市值暴露和收盘价相对 VWAP 偏离，构造规模交易活跃度组合。,"add(neg(log(market_cap)), div(sub(close, vwap), vwap))",fundamental_v21,"add,neg,div,log,sub"
op_case_0217,v21_logic_size_flow_small_size_vwap_deviation,当小市值暴露或收盘价相对 VWAP 偏离至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), gt(div(sub(close, vwap), vwap), xs_mean(div(sub(close, vwap), vwap)))), add(neg(log(market_cap)), div(sub(close, vwap), vwap)), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,neg,div,neg,xs_mean,div,xs_mean,log,sub,log,neg,sub,div,log,sub"
op_case_0218,v21_size_flow_large_size_liquidity,同时考虑大市值暴露和20 日流动性，构造规模交易活跃度组合。,"add(log(market_cap), log1p(ts_mean(volume, 20)))",fundamental_v21,"add,log,log1p,ts_mean"
op_case_0219,v21_logic_size_flow_large_size_liquidity,当大市值暴露或20 日流动性至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(log(market_cap), xs_mean(log(market_cap))), gt(log1p(ts_mean(volume, 20)), xs_mean(log1p(ts_mean(volume, 20))))), add(log(market_cap), log1p(ts_mean(volume, 20))), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,log,log1p,log,xs_mean,log1p,xs_mean,ts_mean,log,ts_mean,log1p,ts_mean"
op_case_0220,v21_size_flow_large_size_volume_attention,同时考虑大市值暴露和成交量异常放大，构造规模交易活跃度组合。,"add(log(market_cap), div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20)))",fundamental_v21,"add,log,div,sub,ts_std,ts_mean"
op_case_0221,v21_logic_size_flow_large_size_volume_attention,当大市值暴露或成交量异常放大至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(log(market_cap), xs_mean(log(market_cap))), gt(div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20)), xs_mean(div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20))))), add(log(market_cap), div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20))), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,log,div,log,xs_mean,div,xs_mean,sub,ts_std,log,sub,ts_std,div,ts_mean,ts_mean,sub,ts_std,ts_mean"
op_case_0222,v21_size_flow_large_size_turnover_proxy,同时考虑大市值暴露和成交量相对市值的换手代理，构造规模交易活跃度组合。,"add(log(market_cap), div(volume, market_cap))",fundamental_v21,"add,log,div"
op_case_0223,v21_logic_size_flow_large_size_turnover_proxy,当大市值暴露或成交量相对市值的换手代理至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(log(market_cap), xs_mean(log(market_cap))), gt(div(volume, market_cap), xs_mean(div(volume, market_cap)))), add(log(market_cap), div(volume, market_cap)), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,log,div,log,xs_mean,div,xs_mean,log,div"
op_case_0224,v21_size_flow_large_size_vwap_deviation,同时考虑大市值暴露和收盘价相对 VWAP 偏离，构造规模交易活跃度组合。,"add(log(market_cap), div(sub(close, vwap), vwap))",fundamental_v21,"add,log,div,sub"
op_case_0225,v21_logic_size_flow_large_size_vwap_deviation,当大市值暴露或收盘价相对 VWAP 偏离至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(log(market_cap), xs_mean(log(market_cap))), gt(div(sub(close, vwap), vwap), xs_mean(div(sub(close, vwap), vwap)))), add(log(market_cap), div(sub(close, vwap), vwap)), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,log,div,log,xs_mean,div,xs_mean,sub,log,sub,div,sub"
op_case_0226,v21_size_flow_size_rank_like_liquidity,同时考虑市值对数的横截面标准化规模和20 日流动性，构造规模交易活跃度组合。,"add(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), log1p(ts_mean(volume, 20)))",fundamental_v21,"add,div,log1p,sub,xs_std,ts_mean,log,xs_mean,log,log"
op_case_0227,v21_logic_size_flow_size_rank_like_liquidity,当市值对数的横截面标准化规模或20 日流动性至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), xs_mean(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))), gt(log1p(ts_mean(volume, 20)), xs_mean(log1p(ts_mean(volume, 20))))), add(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), log1p(ts_mean(volume, 20))), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,div,log1p,div,xs_mean,log1p,xs_mean,sub,xs_std,ts_mean,sub,xs_std,div,ts_mean,log1p,log,xs_mean,log,log,xs_mean,log,sub,xs_std,ts_mean,log,log,log,xs_mean,log,log"
op_case_0228,v21_size_flow_size_rank_like_volume_attention,同时考虑市值对数的横截面标准化规模和成交量异常放大，构造规模交易活跃度组合。,"add(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20)))",fundamental_v21,"add,div,div,sub,xs_std,sub,ts_std,log,xs_mean,log,ts_mean,log"
op_case_0229,v21_logic_size_flow_size_rank_like_volume_attention,当市值对数的横截面标准化规模或成交量异常放大至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), xs_mean(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))), gt(div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20)), xs_mean(div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20))))), add(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20))), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,div,div,div,xs_mean,div,xs_mean,sub,xs_std,sub,ts_std,sub,xs_std,div,sub,ts_std,div,log,xs_mean,log,ts_mean,log,xs_mean,log,sub,xs_std,ts_mean,sub,ts_std,log,log,log,xs_mean,log,ts_mean,log"
op_case_0230,v21_size_flow_size_rank_like_turnover_proxy,同时考虑市值对数的横截面标准化规模和成交量相对市值的换手代理，构造规模交易活跃度组合。,"add(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), div(volume, market_cap))",fundamental_v21,"add,div,div,sub,xs_std,log,xs_mean,log,log"
op_case_0231,v21_logic_size_flow_size_rank_like_turnover_proxy,当市值对数的横截面标准化规模或成交量相对市值的换手代理至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), xs_mean(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))), gt(div(volume, market_cap), xs_mean(div(volume, market_cap)))), add(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), div(volume, market_cap)), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,div,div,div,xs_mean,div,xs_mean,sub,xs_std,sub,xs_std,div,div,log,xs_mean,log,log,xs_mean,log,sub,xs_std,log,log,log,xs_mean,log,log"
op_case_0232,v21_size_flow_size_rank_like_vwap_deviation,同时考虑市值对数的横截面标准化规模和收盘价相对 VWAP 偏离，构造规模交易活跃度组合。,"add(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), div(sub(close, vwap), vwap))",fundamental_v21,"add,div,div,sub,xs_std,sub,log,xs_mean,log,log"
op_case_0233,v21_logic_size_flow_size_rank_like_vwap_deviation,当市值对数的横截面标准化规模或收盘价相对 VWAP 偏离至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), xs_mean(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))), gt(div(sub(close, vwap), vwap), xs_mean(div(sub(close, vwap), vwap)))), add(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), div(sub(close, vwap), vwap)), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,div,div,div,xs_mean,div,xs_mean,sub,xs_std,sub,sub,xs_std,div,sub,div,log,xs_mean,log,log,xs_mean,log,sub,xs_std,sub,log,log,log,xs_mean,log,log"
op_case_0234,v21_size_flow_small_size_rank_like_liquidity,同时考虑小市值的横截面标准化暴露和20 日流动性，构造规模交易活跃度组合。,"add(neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))), log1p(ts_mean(volume, 20)))",fundamental_v21,"add,neg,log1p,div,ts_mean,sub,xs_std,log,xs_mean,log,log"
op_case_0235,v21_logic_size_flow_small_size_rank_like_liquidity,当小市值的横截面标准化暴露或20 日流动性至少一个高于市场均值时，保留组合信号。,"where(logical_or(gt(neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))), xs_mean(neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))))), gt(log1p(ts_mean(volume, 20)), xs_mean(log1p(ts_mean(volume, 20))))), add(neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))), log1p(ts_mean(volume, 20))), 0.0)",conditional_v21,"where,logical_or,add,gt,gt,neg,log1p,neg,xs_mean,log1p,xs_mean,div,ts_mean,div,neg,ts_mean,log1p,sub,xs_std,sub,xs_std,div,ts_mean,log,xs_mean,log,log,xs_mean,log,sub,xs_std,log,log,log,xs_mean,log,log"
